mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
640441-4;Female;Copper Alloy;Tin Lead;White;White;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.006985;
1445957-4;;;Tin;Green;Green;Polycarbonate;;8;1;;;;;;0.007899;0.024587;0.007899;
3-641535-2;Female;Copper Alloy;Tin;White;White;Nylon;PC Board;2;2;1;;0.00254;;;0.00508;0.013462;0.006985;
4-640443-0;Female;Copper Alloy;Tin;Green;Green;Nylon;;10;10;1;;0.00254;;;0.0254;0.013208;0.006985;
640442-2;Female;Copper Alloy;Tin Lead;Blue;Blue;Nylon;PCB;2;2;1;;0.00254;;;0.00508;0.013208;0.006985;
3-640599-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009779;
3-643819-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017;
640442-3;;Copper Alloy;Tin Lead;Blue;White;Nylon;;3;3;1;;0.00254;;;0.00762;0.013208;0.006985;
3-644540-7;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;7;7;1;;0.00254;;;0.01778;0.013208;0.007747;
84953-4;Female;Phosphor Bronze;Tin;Natural;White;Plastic;Surface Mount;4;4;;Right Angle;0.001;Thermoplastic;;0.01192;0.00256;0.0054;
3-643817-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;3;3;1;;0.00396;;;0.011887;0.018415;0.009017;
640426-5;;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;5;5;1;;0.0039624;;;0.019812;0.009017;0.018415;
3-643817-5;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;5;5;1;;0.00396;;;0.019812;0.018415;0.009017;
3-640428-7;Female;Copper Alloy;Tin;Red;Red;Nylon;;7;7;1;;0.00396;;;0.027737;0.018415;0.009017;
XF2L-0425-1A;Female;Copper Alloy;Gold;;;;Surface Mount;4;4;;;0.0005;;;0.0069;0.0012;0.00345;
54489-3;Male;;;Natural;Natural;Nylon;Panel;3;3;1;;0.00792;;;0.023774;0.024511;0.007925;
1-640440-2;Female;Copper Alloy;Tin Lead;;Red;Nylon;;12;12;1;;0.00254;;;0.03048;0.013208;0.006985;
640426-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;3;3;1;;0.0039624;;;0.011887;0.009017;0.018415;
3-640620-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.007747;
4-643817-0;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415;
4-640441-4;Female;Copper Alloy;Tin;White;White;Nylon;;14;14;1;;0.00254;;;0.03556;0.006985;0.013208;
640441-3;;Copper Alloy;Tin Lead;White;White;Nylon;PCB;3;3;1;;0.00254;;;0.00762;0.013208;0.006985;
3-640426-9;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;9;9;1;;0.00396;;;0.035662;0.018415;0.009017;
640440-2;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985;
3-640433-6;Female;Copper Alloy;Tin;Red;Red;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009017;
3-640426-7;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;7;7;1;;0.00396;;;0.027737;0.018415;0.009017;
4-640428-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;12;12;1;;0.00396;;;0.047549;0.009017;0.018415;
487526-2;Male;;;Black;Black;Thermoplastic;;3;3;;;0.00254;;;0.00746;0.01371;0.00248;
1-5747299-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.00274;;;0.03912;0.00808;0.01255;
3-643819-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017;
487378-8;Male;;;Black;Black;Thermoplastic;;9;9;;;0.00254;;;0.0227;0.01371;0.00248;
4-640428-0;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;10;10;1;;0.00396;;;0.039624;0.009017;0.018415;
643813-5;;Copper Alloy;Tin Lead;Red;White;Nylon;Through Hole;5;5;1;;0.00254;;;0.0127;0.013208;0.006985;
643817-2;;Copper Alloy;Tin Lead;Orange;Orange;Nylon;Through Hole;2;2;1;;0.0039624;;;0.007925;0.018415;0.009017;
