mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
5747844-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Right Angle;0.002743;Steel;;0.03081;0.012548;0.018796
207543-1;Female;;;Red;Red;Thermoplastic;Solder;16;16;1;;0.005;;;0.01165;0.0867;0.0337
2-111623-2;Female;Beryllium Copper;Tin Lead;Black;Black;Plastic;;26;26;2;;0.002;;;0.03117;0.01024;0.00516
62684-452100ALF;Female;Phosphor Bronze;Gold;;Beige;Plastic;Surface Mount;45;45;;;0.0005;;;0.028;0.002;0.005
204511-1;Male;;;;;;;104;104;;;;;;0.069317;;0.016967
3-640433-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
643818-9;Female;Copper Alloy;Tin Lead;Yellow;Yellow;Nylon;Through Hole;9;9;1;;0.0039624;;;0.035662;0.018415;0.009017
3-644563-6;Female;Copper Alloy;Tin;White;White;Nylon;Through Hole;6;6;1;;0.00254;;;0.01524;0.013208;0.007747
71600-008LF;Female;Phosphor Bronze;Gold over Nickel;Gray;Gray;Plastic;;8;8;2;;0.00254;;;0.01463;0.013;0.0061
10051922-1510ELF;Female;Copper Alloy;Gold;;;;Surface Mount;15;15;;;0.0005;;;0.01;0.0012;0.0034
87175-2;Female;Phosphor Bronze;;Black;Black;Polyester;;1;1;1;;0.00254;;;0.002743;0.00444;0.01778
5745410-7;Male;Brass;Tin;Black;Black;Plastic;Through Hole;9;9;2;Vertical;0.002743;;;0.03081;0.010719;0.012548
1658610-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;;9;9;2;;0.002769;;;0.030886;0.018618;0.012598
747375-2;Male;Brass;Tin over Nickel;Black;Black;Thermoplastic;Through Hole;37;37;2;Vertical;0.00277;;;0.06939;0.01183;0.01255
643816-4;Female;Copper Alloy;Tin Lead;Green;White;Nylon;Through Hole;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
2-111626-3;Female;Beryllium Copper;Tin Lead;Black;Black;Plastic;PCB;50;50;2;;0.002;;;0.05517;0.01024;0.00516
173977-3;Female;Phosphor Bronze;Tin;Natural;Natural;Plastic;;3;3;1;;0.002;;;0.008;0.004;0.0051
3-640620-8;Female;Copper Alloy;Tin;Red;Red;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
3-641216-5;Male;Copper Alloy;Tin;Natural;White;Polyester;Through Hole;5;5;1;Right Angle;0.00254;;;0.0127;0.007493;0.005715
3-643814-8;Female;Copper Alloy;Tin;Natural;White;Nylon;Solder;8;8;1;;0.00254;Nylon;;0.02032;0.013208;0.006985
5229913-4;Female;Copper Alloy;Gold Flash;Gray;Gray;Plastic;;50;50;;;;;;0.083312;0.017526;0.015367
5747845-5;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Through Hole;15;15;2;Right Angle;0.002743;;;0.039141;0.012548;0.018796
5747844-2;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Right Angle;0.002743;;;0.03081;0.012548;0.018796
5747846-2;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;25;25;2;Right Angle;0.002769;;;0.053035;0.012548;0.018796
1-640441-2;Female;Copper Alloy;Tin Lead;White;White;Nylon;;12;12;1;;0.00254;;;0.03048;0.013208;0.006985
L77DA15SU;Female;Bronze;Gold;Black;Black;Plastic;Solder;15;15;2;;;;;0.03952;;0.01293
865609PLTXLF;Male;;Gold;;;;;9;9;;;;;;0.03043;0.01744;0.01217
3-640441-9;Female;Copper Alloy;Tin;Natural;White;Nylon;PC Board;9;9;1;;0.00254;;;0.02286;0.013208;0.006985
3-644540-8;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
1-1658622-0;Female;Phosphor Bronze;Tin;Black;Black;Plastic;;50;50;2;Vertical;0.00254;;;0.068072;0.01178;0.006096
5749111-7;Male;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;;80;80;2;;0.00127;;;0.05916;0.01494;0.00947
4-640441-3;Female;Copper Alloy;Tin;White;White;Nylon;;13;13;1;;0.00254;;;0.03302;0.006985;0.013208
640251-3;Female;;;Natural;White;Nylon;;3;3;1;;0.0039624;;;0.011811;0.00635;0.016764
SFW12R-1STE1LF;Female;Phosphor Bronze;Tin;;Brown;;Surface Mount;12;12;;;0.001;;;0.0178;0.0027;0.0055
5747236-4;Male;Brass;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Right Angle;0.00274;;;0.03914;0.01255;0.01862
100143-1;Male;Phosphor Bronze;Gold;;Gray;Plastic;Through Hole;110;110;5;Vertical;0.002;;;0.0499;0.01345;0.0154
770029-1;Female;;;White;White;Nylon;Panel;12;12;;;0.00635;;;0.02667;0.027432;0.021463
5747872-8;Male;Brass;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.002769;;;0.039141;0.008128;0.012548
FH28-40S-0.5SH(05);Female;Phosphor Bronze;Gold;;;;Surface Mount;40;40;;;0.0005;;;0.0249;0.00255;0.0065
770277-1;Female;;;Natural;Natural;Nylon;;1;1;;;0.00368;;;0.00762;;0.019939
5749070-7;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;PC Board;68;68;2;Vertical;0.00254;Thermoplastic;;0.06388;0.00871;0.01031
5747840-3;Male;Brass;Gold Flash;Black;Black;Thermoplastic;Through Hole;9;9;2;Right Angle;0.00274;;;0.03081;0.01255;0.01862
5748612-1;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;25;25;2;Vertical;0.002769;;;0.053035;0.012217;0.012548
5745784-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;37;37;2;Right Angle;0.002769;;;0.069317;0.012548;0.018796
3-643818-6;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
5-520315-9;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;;Vertical;0.00254;;;0.02776;0.00693;0.00482
HM2R10PA5108N9LF;Female;;Gold;;;;Through Hole;110;110;5;;0.002;;;0.05;0.01225;0.02095
4-643814-4;;Copper Alloy;Tin;White;White;Nylon;;14;14;1;;0.00254;;;0.03556;0.006985;0.013208
5745967-8;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;25;25;2;Vertical;0.00277;;;0.05309;0.01217;0.01255
207018-1;Female;Copper;;Red;Red;Thermoplastic;Panel;12;12;3;;0.005;;;0.0238;0.02979;0.03302
3-644540-4;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;4;4;1;;0.00254;;;0.01016;0.013208;0.007747
1-746610-6;Male;Phosphor Bronze;Tin;Black;Black;Plastic;Through Hole;26;26;2;Vertical;0.00254;;;0.037592;0.010058;0.007061
88859-3;;;;Black;Black;Thermoplastic;;10;10;;;0.00254;;;0.028804;0.00472;0.013716
207153-1;Female;Copper;;Red;Red;Thermoplastic;Panel;6;6;2;;0.005;;;0.01786;0.02601;0.03302
1-207441-0;Male;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;9;9;3;Vertical;0.005;;;0.01778;0.01179;0.01872
640427-3;Female;Copper Alloy;Tin Lead;Yellow;Yellow;Nylon;PCB;3;3;1;;0.0039624;;;0.011887;0.009017;0.018415
487545-3;Female;;;Black;Black;Polyester;;6;6;;;0.00127;;;0.008712;0.014859;0.006985
188834-1;Male;Phosphor Bronze;Gold;;Gray;Polyester;Through Hole;154;154;7;Vertical;0.002;;;0.0499;0.01345;0.0154
172167-1;Male;;;Natural;Natural;Nylon;Panel;4;4;2;;0.0042;Nylon;;0.009804;0.009804;0.023698
229975-1;Female;Copper Alloy;Gold Flash;Black;Black;Plastic;;50;50;;;;;;0.083312;0.017526;0.015367
207397-1;Female;;;Red;Red;Thermoplastic;Solder;10;10;1;;0.005;;;0.01232;0.0613;0.0337
5745077-6;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.00274;;;0.03914;0.01217;0.01041
4610-6351;Male;Copper Alloy;Gold;Gray;Gray;Plastic;;10;10;2;;0.00254;;;0.0229;0.01334;0.0084
552313-1;Female;Copper Alloy;Gold Flash;Blue;Black;Thermoplastic;;24;24;;;;;;0.055245;0.017526;0.015367
6-102398-5;Female;Copper Alloy;Tin;Black;Black;Thermoplastic;;34;34;2;;0.00254;;;0.04318;0.01524;0.006096
1-487223-0;Male;;;Black;Black;Thermoplastic;;40;40;;;0.00254;;;0.05715;0.01524;0.00749
2-747706-0;Female;Phosphor Bronze;Tin over Copper;;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.002743;;;0.03081;0.008077;0.012548
3-640428-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
3-643813-8;Female;Copper Alloy;Tin;Red;Red;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
1218434-2;Female;Brass;Nickel;;Black;Plastic;Solder;15;15;2;Right Angle;;;;0.03914;0.01255;0.01072
4-643813-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;14;14;1;;0.00254;;;0.03556;0.006985;0.013208
1-640428-2;;Copper Alloy;Tin Lead;Red;Red;Nylon;;12;12;1;;0.0039624;;;0.047549;0.018415;0.00902
5745352-4;Male;Brass;Tin;Black;Black;Nylon;Through Hole;15;15;2;Right Angle;0.002743;;;0.039141;0.012548;0.026035
1-5229912-1;Male;Copper Alloy;Gold Flash;Black;Black;Plastic;;50;50;;;;;;0.083312;0.017526;0.015367
552285-1;Male;Copper Alloy;Gold Flash;Blue;Black;Thermoplastic;;64;64;;;;;;0.098425;0.017526;0.015367
4-640620-0;Female;Copper Alloy;Tin;Red;Red;Nylon;;10;10;1;;0.00254;;;0.0254;0.007747;0.013208
4795.0000;Female;;;Black;;Thermoplastic;Quick Connect;2;;;Straight;;;;0.057;0.023;0.03
